business_kindom_key,business_kindom_name,matched_mohw_name,new_category
272853a9-2bac-4965-b5b4-512d85b434f4,享溫心護理之家_享溫心護理之家,享溫心護理之家,喘息服務
705b9fef-3bfc-4c94-8f03-71ebd91d59af,享溫心護理之家_享溫心護理之家,享溫心護理之家,喘息服務
86182874-8850-4361-8a0d-195af08e20d7,佳佑診所_佳佑診所,佳佑診所,居家失能個案家庭醫師照護服務
4898d094-46bf-454d-bdfc-db159569820b,佳醫護理之家_佳醫護理之家,佳醫護理之家,喘息服務
443bdf65-d2e9-45aa-8550-51c9409ba0f1,佳馨居家護理所_佳馨居家護理所,佳馨居家護理所,個案管理服務
b4f04790-55b9-48f1-abc5-e5905b5cd823,受恩社區關懷協會_受恩社區關懷協會,高雄市受恩社區關懷協會(後壁區),個案管理服務
09b37d57-5f6c-4880-a513-c41cec9ec2b9,和春護理之家_和春護理之家,和春護理之家(A),個案管理服務
7b50a0aa-b365-4dfe-9bb4-92c445e9fdc3,和欣護理之家_和欣護理之家,和欣護理之家,喘息服務
8e60620b-460d-4109-afc4-81e7257f2701,奇美醫療財團法人佳里奇美醫院_奇美醫療財團法人佳里奇美醫院,奇美醫療財團法人佳里奇美醫院,個案管理服務
df87904d-0e4c-4865-b05f-eb5057cfea5e,宜蘭縣三星鄉老人福利協會_宜蘭縣三星鄉老人福利協會,宜蘭縣三星鄉老人福利協會,巷弄長照站
a6b31fdc-fc2d-4633-bcf7-a37553f1fba7,宜蘭縣三星鄉衛生所_宜蘭縣三星鄉衛生所,宜蘭縣三星鄉衛生所,社區式交通接送服務(BD03)
e7542d80-501d-4e80-8ac5-8cef21616c1f,宜蘭縣冬山鄉武淵社區發展協會_宜蘭縣冬山鄉武淵社區發展協會,宜蘭縣冬山鄉武淵社區發展協會,巷弄長照站
028d5314-eb8d-482b-9987-29e3aac7f0c6,宜蘭縣冬山鄉衛生所_宜蘭縣冬山鄉衛生所,宜蘭縣冬山鄉衛生所,社區式交通接送服務(BD03)
80143927-6ad1-4c72-b7d8-c27c71980936,宜蘭縣司達吉斯部落產業永續發展協會_宜蘭縣司達吉斯部落產業永續發展協會,宜蘭縣司達吉斯部落產業永續發展協會,營養餐飲服務
5ea210e2-441b-4f3f-ab5e-ad9ea3a2d722,宜蘭縣壯圍鄉壯六社區發展協會_宜蘭縣壯圍鄉壯六社區發展協會,宜蘭縣壯圍鄉壯六社區發展協會,巷弄長照站
47f57b0e-2235-46e6-8e8d-eb77e19b1b0c,宜蘭縣壯圍鄉後埤社區發展協會_宜蘭縣壯圍鄉後埤社區發展協會,宜蘭縣壯圍鄉後埤社區發展協會,巷弄長照站
2fb5b238-9ebc-4509-b0a1-baab597fea8a,宜蘭縣壯圍鄉衛生所_宜蘭縣壯圍鄉衛生所,宜蘭縣壯圍鄉衛生所,社區式交通接送服務(BD03)
3f86baac-3a45-40f0-866f-e154b7da77c7,宜蘭縣壯圍鄉順和社區發展協會_宜蘭縣壯圍鄉順和社區發展協會,宜蘭縣壯圍鄉順和社區發展協會,巷弄長照站
8e49a6bf-b191-4cab-a172-4a4c44ccd61f,宜蘭縣大同鄉衛生所_宜蘭縣大同鄉衛生所,宜蘭縣大同鄉衛生所,居家失能個案家庭醫師照護服務
c6db6bdf-6ab1-45bc-aaa7-e1836ddac942,宜蘭縣崗給原住民永續發展協會_宜蘭縣崗給原住民永續發展協會,宜蘭縣崗給原住民永續發展協會,營養餐飲服務
52af3cdd-bdb9-4787-ba79-16460f6fdd13,宜蘭縣私立百齡老人長期照顧中心(養護型)_宜蘭縣私立百齡老人長期照顧中心(養護型),宜蘭縣私立百齡老人長期照顧中心(養護型),喘息服務
d6274379-e260-4bbd-b507-f8977e994134,宜蘭縣蘇澳鎮蘇北社區發展協會_宜蘭縣蘇澳鎮蘇北社區發展協會,宜蘭縣蘇澳鎮蘇北社區發展協會,巷弄長照站
03d2cbed-1b99-4d5b-bc1f-25e36d6fd366,宜蘭縣蘇澳鎮蘇西社區發展協會_宜蘭縣蘇澳鎮蘇西社區發展協會,宜蘭縣蘇澳鎮蘇西社區發展協會,巷弄長照站
c7b07cfb-d580-4555-9ed3-1896eccbf543,宜蘭縣蘇澳鎮衛生所_宜蘭縣蘇澳鎮衛生所,宜蘭縣蘇澳鎮衛生所,社區式交通接送服務(BD03)
6dd888ec-b4a2-4fdd-ae0f-4d9a5fe44222,宜蘭縣蘇澳鎮長安社區發展協會_宜蘭縣蘇澳鎮長安社區發展協會,宜蘭縣蘇澳鎮長安社區發展協會,巷弄長照站
53f66ed3-19f8-436b-80d4-d65ea5c2dd1a,宜蘭縣門諾漾文化推展協會_宜蘭縣門諾漾文化推展協會,宜蘭縣門諾漾文化推展協會(樂水文化健康站),巷弄長照站
f7d2ca85-7319-4fc5-87c1-62f5822413ac,宜蘭縣頭城鎮大坑社區發展協會_宜蘭縣頭城鎮大坑社區發展協會,宜蘭縣頭城鎮大坑社區發展協會,巷弄長照站
2945e853-dae9-4053-85bc-5108a1427a4e,宜蘭縣頭城鎮港口社區發展協會_宜蘭縣頭城鎮港口社區發展協會,宜蘭縣頭城鎮港口社區發展協會,巷弄長照站
dff4f169-7fcf-4c53-bd96-33b8b9ced6ea,宜蘭縣頭城鎮衛生所_宜蘭縣頭城鎮衛生所,宜蘭縣頭城鎮衛生所,社區式交通接送服務(BD03)
514621cb-91ac-4e85-a0fb-f32009ed82d7,宜蘭縣頭城鎮龜山島社區發展協會(龜山島老來寶健康促進家園站)_宜蘭縣頭城鎮龜山島社區發展協會(龜山島老來寶健康促進家園站),宜蘭縣頭城鎮龜山島社區發展協會,巷弄長照站
61816684-32cb-4afd-83c2-8477caad77fd,怡仁綜合醫院_怡仁綜合醫院,怡仁綜合醫院,居家失能個案家庭醫師照護服務
c9dac86b-25eb-4c01-a31f-ade975289af1,明康居家護理所_明康居家護理所,明康居家護理所,專業照護服務
d91a6840-ee52-4fba-bc67-8e7f09abdea1,明德聯合診所_明德聯合診所,明德聯合診所,居家失能個案家庭醫師照護服務
5478fee1-9207-4b4a-8220-8e556a4168c5,枋寮醫療社團法人枋寮醫院_枋寮醫療社團法人枋寮醫院,枋寮醫療社團法人枋寮醫院,個案管理服務
4a4cd18f-e3ca-49cc-9f3d-970a32f01a4d,東明護理之家_東明護理之家,東明護理之家,喘息服務
bbad47f2-09a7-4a1f-a80a-38ad63e437c2,東興內科診所_東興內科診所,東興內科診所,居家失能個案家庭醫師照護服務
5a0e15e7-b7ff-4a78-aa89-e94991c0b2ee,林燕玲居家護理所_林燕玲居家護理所,林燕玲居家護理所,社區式交通接送服務(BD03)
fa561024-5419-4dbf-96e9-cb8320153e8f,松林護理之家_松林護理之家,松林護理之家,喘息服務
27a05a3b-34b3-4c4f-8ac0-5d72b1b7ea5d,社團法人中華民國五福社會服務協會_社團法人中華民國五福社會服務協會,(巷弄長照站臨托)社團法人中華民國五福社會服務協會,社區式
a8e1366d-c737-4e5e-ba42-d9ed4aaba365,社團法人中華民國失智者照顧協會_社團法人中華民國失智者照顧協會,社團法人中華民國失智者照顧協會,巷弄長照站
6b1f020b-10dd-43c3-9e74-2f4e4a711127,社團法人南投縣中寮鄉龍眼林福利協會_社團法人南投縣中寮鄉龍眼林福利協會,社團法人南投縣中寮鄉龍眼林福利協會,營養餐飲服務
d364cc8e-4cab-4f78-b71d-39eff2b1f852,社團法人台中市啟明重建福利協會_社團法人台中市啟明重建福利協會,社團法人台中市啟明重建福利協會,巷弄長照站
46b743db-21a0-4d24-b183-7b427f8ec62f,社團法人台南市南瀛社會福利推展協會_社團法人台南市南瀛社會福利推展協會,社團法人台南市南瀛社會福利推展協會,個案管理服務
b1d155ae-22e5-4845-a999-a6a8f8f69505,社團法人台南市家庭關懷協會_社團法人台南市家庭關懷協會,社團法人台南市家庭關懷協會(南區),個案管理服務
d6f9e8f5-7569-41f7-8dce-a912693ac0e1,社團法人台灣愛鄰社區服務協會_社團法人台灣愛鄰社區服務協會,社團法人台灣愛鄰社區服務協會(大安區),營養餐飲服務
c2abbabc-cefc-4892-8925-8fee591fe940,社團法人台灣身心機能活化運動協會_社團法人台灣身心機能活化運動協會,社團法人台灣身心機能活化運動協會,營養餐飲服務
474b0243-6d39-45fb-ab53-8f1d732a67ce,社團法人屏東縣失智症服務協會_社團法人屏東縣失智症服務協會,社團法人屏東縣失智症服務協會,巷弄長照站
0d82eca4-7a99-4cf3-882f-48c84b69939d,社團法人屏東縣屏東市長青學苑服務協會_社團法人屏東縣屏東市長青學苑服務協會,社團法人屏東縣屏東市長青學苑服務協會,巷弄長照站
aab40059-1114-44db-a118-e101b83fdbdf,社團法人屏東縣牡丹鄉高士社區發展協會_社團法人屏東縣牡丹鄉高士社區發展協會,社團法人屏東縣牡丹鄉高士社區發展協會(高士文健站),巷弄長照站
0ceee3d3-2139-453b-8998-49471030c2d4,社團法人新竹市福祿壽長青協會(社區照顧關懷據點)_社團法人新竹市福祿壽長青協會(社區照顧關懷據點),社團法人新竹市福祿壽長青協會,巷弄長照站
f709d944-aedf-42af-a6cb-66577da67471,社團法人桃園市全人生命教育協會_社團法人桃園市全人生命教育協會,社團法人桃園市全人生命教育協會,巷弄長照站
538ea42a-aa95-4013-96e8-4fe44b57ca8a,社團法人桃園市幸福家庭培力協會_社團法人桃園市幸福家庭培力協會,社團法人桃園市幸福家庭培力協會,巷弄長照站
90a42c69-e1d9-47c2-9033-37e6b7dbfb03,社團法人桃園市復興區爺亨部落多元產業發展協會_社團法人桃園市復興區爺亨部落多元產業發展協會,社團法人桃園市復興區爺亨部落多元產業發展協會,巷弄長照站
